"date","a","z","y","x","rpm"
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
"",NA,NA,NA,NA,NA
